_id,NAME,ROUTE NO,DISTRICT,HOW NAMED,FROM,TO
186,"Firefighter Michael ""Mikey"" Hallenbeck Memorial Highway",50,3,"SCR 149, CH 182, 2016",Mount Ralston Road (PM R61.845),Echo Summit (PM 66.483)
187,Special Deputy Frank Hamilton Memorial Highway,371,8,"SCR 51, CH 2, 2016",Tribal Road (PM 67.178),Howard Road (PM 68.709)
188,Hansen Way,"20, 49",3,"SCR 10, CH 104, 2005",South Auburn Street,Bennett Street
189,Happy Trails Highway,18,7,"ACR 82, CH 80, 1992",Apple Valley Eastern City Limit,Apple Valley Western City Limit
190,Harbor Freeway,110,7,By Location,San Pedro,Route 101
191,CHP Officers Harold E. Horine and Bill Leiphardt Memorial Highway,10,7,"SCR 57, CH 5, 2014",BALDWIN PARK BLVD OC# 53-664 PM 32.218,SUNSET AVENUE UC# 53-668 PM 34.851
192,Alan S. Hart Freeway,80,3,"SCR 102, CH 164, 1986",Sacramento/Placer County Line,Nevada State Line
193,Fullerton Police Officer Jerry Hatch Memorial Highway,91,12,"SCR 27, CH 109, 2015",MAGNOLIA AVENUE UC#55-296R - PM R3.851R,STATE COLLEGE BOULEVARD UC#55-852 - PM 5.258
194,Detective Kent Haws Memorial Highway,65,6,"ACR 147, CH 161, 2008",Route 137,Route 198
195,Hawthorne Freeway,107,7,By Location,Route 1,I-405
196,National Purple Heart Trail,223,6,"SCR 105, CH 95, 2010",Route 99,Route 58
197,William Z. Hegy Memorial Highway,101,1,"SCR 53, CH 39, 1988",Little River near Trinidad,Patrick's Point undercrossing
198,Gary Helming Memorial Highway,41,6,"ACR 74, CH 120, 2022",Avenal Cr 45-36 (Postmile 3.753),JCT ST 33 (Postmile 8.098)
199,Sergeant Ronald “Ron” Lee Helus Memorial Highway,101,7,"ACR 17, CH 120, 2019",Hampshire Road UC# 52-273 (PM 1.622),Lynn Road OC# 52-325 (PM 5.046)
200,Sam Helwer Memorial Freeway,101,1,"ACR 54, CH 114, 1994",Myers Flat,Stafford
201,Senator Henry J. Mello Highway,1,5,"ACR 67, CH 141, 2014",STRUVE ROAD N - PM 98.350,PAJARO RIVER BRIDGE# 44-69 - AVG BEG PM R101.980
